killed_by;killer_name;killer_placement;killer_position_x;killer_position_y;map;match_id;time;victim_name;victim_placement;victim_position_x;victim_position_y
Grenade;KrazyPortuguese;5.0;657725.1;146275.2;MIRAMAR;2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY;823;KrazyPortuguese;5.0;657725.1;146275.2
SCAR-L;nide2Bxiaojiejie;31.0;93091.37;722236.4;MIRAMAR;2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY;194;X3evolution;33.0;92238.68;723375.1
S686;Ascholes;43.0;366921.4;421623.9;MIRAMAR;2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY;103;CtrlZee;46.0;367304.5;421216.1
Down and Out;Weirdo7777;9.0;472014.2;313274.8;MIRAMAR;2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY;1018;BlackDpre;13.0;476645.9;316758.4
M416;Solayuki1;9.0;473357.8;318340.5;MIRAMAR;2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY;1018;Vjolt;13.0;473588.5;318418.8
Punch;xuezhiqian717;26.0;721944.4;359575.3;MIRAMAR;2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY;123;PurplePenguin9;47.0;0.0;0.0
AKM;pdfjkkvjk;12.0;376333.8;317858.9;MIRAMAR;2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY;886;JoeyJoeman;15.0;372808.3;297124.2
S686;xiaogao13;27.0;373125.3;433540.6;MIRAMAR;2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY;137;BNOISE;38.0;373125.8;433608.8
S686;Jingchita;40.0;370990.6;424074.5;MIRAMAR;2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY;89;OmGiTzPauly;47.0;370761.1;423662.1
AKM;Alexande-999;25.0;368799.3;420810.2;MIRAMAR;2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY;117;Ascholes;43.0;368015.0;421322.6
Punch;NameLessisME;8.0;434351.8;278681.6;MIRAMAR;2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY;165;Haten-Gu;28.0;434383.5;278608.1
P92;Daerljgodi;20.0;365983.6;439563.8;MIRAMAR;2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY;111;BigBeefyy;38.0;366246.5;439890.6
S686;JoyFeng-;3.0;363435.6;423069.7;MIRAMAR;2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY;406;WalrusInHeat;23.0;363666.7;423256.1
M416;NameLessisME;8.0;374980.3;293019.5;MIRAMAR;2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY;883;Dinostoned;15.0;375053.3;293151.7
Down and Out;UrGrandFather;14.0;535680.8;368517.3;MIRAMAR;2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY;751;Pis22;;533947.6;366812.6
Punch;xuezhiqian717;26.0;725042.3;361510.1;MIRAMAR;2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY;139;patrickmoneyy;47.0;0.0;0.0
Win94;FantasticBoys;2.0;384599.4;437149.5;MIRAMAR;2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY;127;ImSoPhamcy;42.0;383677.7;443822.2
M416;PPPIGFEET;26.0;363133.9;430829.4;MIRAMAR;2U4GBNA0YmnLSqvEycnTjo-KT000vfUnhSA2vfVhVPe1QBwCTNTBJ5B_1Ocel6nY;229;Northidaho;30.0;363109.9;430999.2
